Round Number,Date,Location,Home Team,Away Team,Group,Result
1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",Russia,Saudi Arabia,Group A,
1,15/06/2018 15:00,Ekaterinburg Stadium,Egypt,Uruguay,Group A,
1,15/06/2018 18:00,Saint Petersburg Stadium,Morocco,Iran,Group B,
1,15/06/2018 21:00,"Fisht Stadium, Sochi",Portugal,Spain,Group B,
1,16/06/2018 13:00,Kazan Arena,France,Australia,Group C,
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Argentina,Iceland,Group D,
1,16/06/2018 19:00,Saransk Stadium,Peru,Denmark,Group C,
1,16/06/2018 22:00,Kaliningrad Stadium,Croatia,Nigeria,Group D,
1,17/06/2018 15:00,Samara Stadium,Costa Rica,Serbia,Group E,
1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",Germany,Mexico,Group F,
1,17/06/2018 21:00,Rostov-on-Don Stadium,Brazil,Switzerland,Group E,
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Sweden,Korea Republic,Group F,
1,18/06/2018 18:00,"Fisht Stadium, Sochi",Belgium,Panama,Group G,
1,18/06/2018 21:00,Volgograd Stadium,Tunisia,England,Group G,
1,19/06/2018 15:00,Saransk Stadium,Colombia,Japan,Group H,
1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",Poland,Senegal,Group H,
2,19/06/2018 21:00,Saint Petersburg Stadium,Russia,Egypt,Group A,
2,20/06/2018 15:00,"Luzhniki Stadium, Moscow",Portugal,Morocco,Group B,
2,20/06/2018 18:00,Rostov-on-Don Stadium,Uruguay,Saudi Arabia,Group A,
2,20/06/2018 21:00,Kazan Arena,Iran,Spain,Group B,
2,21/06/2018 15:00,Samara Stadium,Denmark,Australia,Group C,
2,21/06/2018 18:00,Ekaterinburg Stadium,France,Peru,Group C,
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Argentina,Croatia,Group D,
2,22/06/2018 15:00,Saint Petersburg Stadium,Brazil,Costa Rica,Group E,
2,22/06/2018 18:00,Volgograd Stadium,Nigeria,Iceland,Group D,
2,22/06/2018 21:00,Kaliningrad Stadium,Serbia,Switzerland,Group E,
2,23/06/2018 15:00,"Otkrytiye Arena, Moscow",Belgium,Tunisia,Group G,
2,23/06/2018 18:00,Rostov-on-Don Stadium,Korea Republic,Mexico,Group F,
2,23/06/2018 21:00,"Fisht Stadium, Sochi",Germany,Sweden,Group F,
2,24/06/2018 15:00,Nizhny Novgorod Stadium,England,Panama,Group G,
2,24/06/2018 18:00,Ekaterinburg Stadium,Japan,Senegal,Group H,
2,24/06/2018 21:00,Kazan Arena,Poland,Colombia,Group H,
3,25/06/2018 17:00,Samara Stadium,Uruguay,Russia,Group A,
3,25/06/2018 17:00,Volgograd Stadium,Saudi Arabia,Egypt,Group A,
3,25/06/2018 21:00,Saransk Stadium,Iran,Portugal,Group B,
3,25/06/2018 21:00,Kaliningrad Stadium,Spain,Morocco,Group B,
3,26/06/2018 17:00,"Luzhniki Stadium, Moscow",Denmark,France,Group C,
3,26/06/2018 17:00,"Fisht Stadium, Sochi",Australia,Peru,Group C,
3,26/06/2018 21:00,Saint Petersburg Stadium,Nigeria,Argentina,Group D,
3,26/06/2018 21:00,Rostov-on-Don Stadium,Iceland,Croatia,Group D,
3,27/06/2018 17:00,Ekaterinburg Stadium,Mexico,Sweden,Group F,
3,27/06/2018 17:00,Kazan Arena,Korea Republic,Germany,Group F,
3,27/06/2018 21:00,"Otkrytiye Arena, Moscow",Serbia,Brazil,Group E,
3,27/06/2018 21:00,Nizhny Novgorod Stadium,Switzerland,Costa Rica,Group E,
3,28/06/2018 17:00,Volgograd Stadium,Japan,Poland,Group H,
3,28/06/2018 17:00,Samara Stadium,Senegal,Colombia,Group H,
3,28/06/2018 21:00,Saransk Stadium,Panama,Tunisia,Group G,
3,28/06/2018 21:00,Kaliningrad Stadium,England,Belgium,Group G,
Round of 16,30/06/2018 21:00,"Fisht Stadium, Sochi",Winner Group A,Runner-up Group B	,,
Round of 16,30/06/2018 21:00,Kazan Arena,Winner Group C,Runner-up Group D,,
Round of 16,01/07/2018 17:00,"Luzhniki Stadium, Moscow",Winner Group B,Runner-up Group A	,,
Round of 16,01/07/2018 21:00,Nizhny Novgorod Stadium,Winner Group D,Runner-up Group C,,
Round of 16,02/07/2018 17:00,Samara Stadium,Winner Group E,Runner-up Group F,,
Round of 16,02/07/2018 21:00,Rostov-on-Don Stadium,Winner Group G,Runner-up Group H,,
Round of 16,03/07/2018 17:00,Saint Petersburg Stadium,Winner Group F,Runner-up Group E,,
Round of 16,03/07/2018 21:00,"Otkrytiye Arena, Moscow",Winner Group H,Runner-up Group G,,
Quarter Finals,06/07/2018 17:00,Nizhny Novgorod Stadium,To be announced,To be announced,,
Quarter Finals,06/07/2018 21:00,Kazan Arena,To be announced,To be announced,,
Quarter Finals,07/07/2018 17:00,Samara Stadium,To be announced,To be announced,,
Quarter Finals,07/07/2018 21:00,"Fisht Stadium, Sochi",To be announced,To be announced,,
Semi Finals,10/07/2018 21:00,Saint Petersburg Stadium,To be announced,To be announced,,
Semi Finals,11/07/2018 21:00,"Luzhniki Stadium, Moscow",To be announced,To be announced,,
Finals,14/07/2018 17:00,Saint Petersburg Stadium,To be announced,To be announced,,
Finals,15/07/2018 18:00,"Luzhniki Stadium, Moscow",To be announced,To be announced,,
